"lot","day","temperature","conc_geom","lot_d0_conc"
"1",0,6,3.84509804001426,3.84509804001426
"1",1,6,4.54945368584076,3.84509804001426
"1",2,6,5.08520342073422,3.84509804001426
"1",3,6,5.23907350510717,3.84509804001426
"1",4,6,7.13883354039976,3.84509804001426
"1",6,6,7.12989888339399,3.84509804001426
"1",9,6,7.87691372012106,3.84509804001426
"1",12,6,8.59282567039339,3.84509804001426
"1",15,6,9.3929858119326,3.84509804001426
"1",18,6,9.45002360216043,3.84509804001426
"1",21,6,9.5476363862201,3.84509804001426
"1",24,6,9.4846792575704,3.84509804001426
"2",0,6,5.03539065303906,5.03539065303906
"2",1,6,5.38372447949839,5.03539065303906
"2",2,6,6.41651573112556,5.03539065303906
"2",3,6,6.5170140219469,5.03539065303906
"2",4,6,7.97046091311002,5.03539065303906
"2",6,6,8.14616627901595,5.03539065303906
"2",9,6,8.0990434113301,5.03539065303906
"2",12,6,8.86368602169095,5.03539065303906
"2",15,6,9.21161388099402,5.03539065303906
"2",18,6,9.70802115414381,5.03539065303906
"2",21,6,9.55048589630711,5.03539065303906
"2",24,6,9.77285399472547,5.03539065303906
"4",0,6,3.12105915603938,3.12105915603938
"4",1,6,3.0678451889523,3.12105915603938
"4",2,6,3.30062448819922,3.12105915603938
"4",3,6,4.74821885701747,3.12105915603938
"4",4,6,4.72074747974632,3.12105915603938
"4",6,6,5.87036037935897,3.12105915603938
"4",9,6,5.71055255368182,3.12105915603938
"4",12,6,7.01787032669918,3.12105915603938
"4",15,6,8.11541806545661,3.12105915603938
"4",18,6,7.29676710949172,3.12105915603938
"4",21,6,8.68235324914571,3.12105915603938
"4",24,6,9.12871839336966,3.12105915603938
"4",27,6,9.57986682708939,3.12105915603938
"4",30,6,8.9814844752385,3.12105915603938
"5",0,6,4.99166614524143,4.99166614524143
"5",1,6,5.09271835477448,4.99166614524143
"5",2,6,5.34647938350538,4.99166614524143
"5",3,6,6.57398802915688,4.99166614524143
"5",4,6,6.23268215442175,4.99166614524143
"5",6,6,7.42904757901347,4.99166614524143
"5",9,6,7.36925229674352,4.99166614524143
"5",12,6,7.74641909493129,4.99166614524143
"5",15,6,8.24115752817546,4.99166614524143
"5",18,6,8.83586309176281,4.99166614524143
"5",21,6,9.05129553354171,4.99166614524143
"5",24,6,9.84627958335849,4.99166614524143
"5",27,6,9.62883183929512,4.99166614524143
"5",30,6,9.54566200963297,4.99166614524143
"3",0,6,2.8658983953085,2.8658983953085
"3",1,6,3.99848875648345,2.8658983953085
"3",2,6,3.90781461662316,2.8658983953085
"3",3,6,4.30271739811675,2.8658983953085
"3",4,6,3.7856560126268,2.8658983953085
"3",6,6,5.41536420969587,2.8658983953085
"3",9,6,6.15883102152932,2.8658983953085
"3",12,6,7.28196438978677,2.8658983953085
"3",15,6,7.66551326438163,2.8658983953085
"3",18,6,7.75829828928553,2.8658983953085
"3",21,6,9.662904367416,2.8658983953085
"3",24,6,9.66559928705825,2.8658983953085
"6",0,6,4.93012494629319,4.93012494629319
"6",1,6,3.77409956710741,4.93012494629319
"6",2,6,6.13169155208363,4.93012494629319
"6",3,6,6.10000680684542,4.93012494629319
"6",4,6,6.4985550234493,4.93012494629319
"6",6,6,6.58324749821144,4.93012494629319
"6",9,6,7.72772613587921,4.93012494629319
"6",12,6,7.81188930159281,4.93012494629319
"6",15,6,8.52933327059738,4.93012494629319
"6",18,6,8.45541251645591,4.93012494629319
"6",21,6,9.65539674212244,4.93012494629319
"6",24,6,9.426039384763,4.93012494629319
"6",27,6,9.67602033125849,4.93012494629319
"6",30,6,9.16035886245612,4.93012494629319
"7",0,10,3.48667512417076,3.48667512417076
"7",1,10,4.01729518628878,3.48667512417076
"7",2,10,4.95265826232497,3.48667512417076
"7",3,10,6.2261086810399,3.48667512417076
"7",4,10,5.4023114265079,3.48667512417076
"7",6,10,7.06596383521112,3.48667512417076
"7",9,10,7.89484851217977,3.48667512417076
"7",12,10,8.10062083473715,3.48667512417076
"7",15,10,9.02679424836442,3.48667512417076
"7",18,10,9.37464901504348,3.48667512417076
"7",21,10,9.73558736377666,3.48667512417076
"7",24,10,9.74347931528627,3.48667512417076
"8",0,10,6.021873132292,6.021873132292
"8",1,10,5.65894118428963,6.021873132292
"8",2,10,7.04990856635433,6.021873132292
"8",3,10,6.70962404103858,6.021873132292
"8",4,10,7.87366419946108,6.021873132292
"8",6,10,8.34992521356504,6.021873132292
"8",9,10,8.85715892563524,6.021873132292
"8",12,10,9.52817231620764,6.021873132292
"8",15,10,9.56976041646381,6.021873132292
"8",18,10,9.83225707392285,6.021873132292
"8",21,10,9.45604792423098,6.021873132292
"8",24,10,9.29917401571287,6.021873132292
"8",27,10,8.51802802100101,6.021873132292
"8",30,10,8.21748649546177,6.021873132292
